price,mini,faction
,Fall of the Necromancer™ (ePub),
9.2,Games Workshop Tape Measure,
32.2,Dark Angels  Upgrades and Transfers,Supplement_Marines
133.4,Defiler,
43.24,Kravek Morne,
248.4,Eye of Terror Battalion  Sons of Dorn,Supplement_Marines
156.4,Combat Patrol  Aeldari Corsairs,Craftworlds
40.02,Red Corsairs Reave-Captain,
156.4,Combat Patrol,Death_Guard
63.48,Ravager,Drukhari
44.16,Reavers,Chaos_Space_Marines
32.2,Hellions,
63.48,Fire Prism,
59.8,Deff Dread,Orks
97.52,Vashtorr the Arkifane,
35.88,Commissar,Astra_Militarum
48.76,Heavy Weapons Squad,
59.8,Lord Solar Leontus,Necrons
55.2,Changecaster,
55.2,Accursed Cultists,
48.76,Chaos Cultists,Chaos_Daemons
75.44,Venomcrawler and Obliterators,
59.8,Chosen,
40.02,Warpsmith,
35.88,Ork Warboss with Attack Squig,Orks
59.8,Primaris Crusader Squad,Space_Marines
133.4,Hunta Rig,
55.2,Beastboss on Squigosaur,
55.2,Mozrog Skragbad,
133.4,Kill Rig,
63.48,Squighog Boyz,Orks
55.2,Flayed Ones,
32.2,Skitarii Marshal,
35.88,Poxwalkers,
119.6,C'tan Shard of the Void Dragon,Necrons
59.8,Ophydian Destroyers,
55.2,Lokhust Destroyer Squadron,Necrons
105.8,Repulsor Executioner,
59.8,Woods,
55.2,Chaplain on Bike,
43.24,Kayvaan Shrike,
59.8,Triarch Stalker,Necrons
59.8,Devastator Squad,Space_Marines
38.64,Apothecary,
55.2,Triarch Praetorians,Necrons
55.2,Lychguard,Necrons
55.2,Illuminor Szeras,
40.02,Hospitaller,Adepta_Sororitas
25.76,Mechanicum Knight Moirax Graviton Pulsar,Imperial_Knights
25.76,Mechanicum Knight Moirax Conversion Beam Cannon,Imperial_Knights
529.0,Legio Custodes Ares Gunship,Adeptus_Custodes
32.2,Sorcerer Lord in Terminator Armour,Necrons
75.44,Lord Discordant on Helstalker,Necrons
55.2,Flesh Hounds,
32.2,Chaos Lord in Terminator Armour,Necrons
44.62,Chaos Bikers,Chaos_Daemons
40.02,Karanak,Chaos_Daemons
32.2,"Bloodmaster, Herald of Khorne",Chaos_Daemons
38.64,Ork Burna Boyz,Orks
38.64,Ork Lootas,Orks
55.2,Fire Warriors Breacher Team,
55.2,Fire Warriors Strike Team,
55.2,Sicarian Infiltrators,
55.2,Sicarian Ruststalkers,
35.88,Sloppity Bilepiper,
32.2,Poxbringer,
400.2,Astraeus Super-heavy Tank,
303.6,T’au Tiger Shark AX-1-0,Tau_Empire
529.0,Legio Custodes Orion Assault Dropship,Adeptus_Custodes
88.32,Venerable Land Raider,Drukhari
35.88,The Changeling,
55.2,Burning Chariot of Tzeentch,Thousand_Sons
156.4,Kairos Fateweaver,
653.2,Acastus Knight Porphyrion,Imperial_Knights
63.48,Goliath Rockgrinder,
63.48,Goliath Truck,
32.2,Acolyte Iconward,Genestealer_Cult
55.2,Exalted Flamer of Tzeentch,Chaos_Daemons
55.2,"Fateskimmer, Herald of Tzeentch on Burning Chariot",Thousand_Sons
156.4,Lord of Change,Necrons
88.32,XV95 Ghostkeel Battlesuit,
340.4,Mechanicum Cerastus Knight-Atrapos,Imperial_Knights
230.0,Questoris Knight Magaera,Imperial_Knights
,Manta,
188.6,Avenger Strike Fighter,
188.6,Thunderbolt Heavy Fighter,
386.4,Marauder Destroyer,Necrons
386.4,Marauder Bomber,
492.2,Tyranid Harridan,Tyranids
492.2,Tyranid Hierophant Bio-Titan,Tyranids
487.6,Ork Gargantuan Squiggoth,Orks
,Chaos Reaver Titan Body,Drukhari
639.4,Chaos Warhound Scout Titan,Space_Marines
28.52,Cyclops Demolition Vehicle,
21.16,Legion MKIII Command Upgrade Set,Chaos_Space_Marines
67.62,Big Mek in Mega Armour,Orks
67.62,Meganobz,
59.8,Flash Gitz,Orks
55.2,Taurox,
55.2,Taurox Prime,
63.48,Night Spinner,
35.88,Catachan Command Squad,
48.76,C'tan Shard of The Deceiver,Necrons
88.32,Land Raider,Drukhari
32.2,"Ezekiel, Grand Master of Librarians",
86.48,Huron Blackheart and the Masters of the Maelstrom,
59.8,Nekrosor Ammentar,
119.6,C'tan Shard of the Nightbringer,Necrons
59.8,Victrix Honour Guard,Supplement_Marines
51.06,Marneus Calgar in Armour of Antilochus,Supplement_Marines
178.48,Knight Preceptor/Canis Rex,Imperial_Knights
368.0,Seraptek Heavy Construct with Synaptic Obliterators,Necrons
