mini,base_mm2,cost
Imagifier,32mm,65.0
Hospitaller,50mm,50.0
Dialogus,40mm,40.0
Battle Sisters Squad,32mm,105.0
Seraphim Squad,32mm,80.0
Seraphim Squad,32mm,160.0
REPENTIA SUPERIOR,32mm,75.0
REPENTIA SUPERIOR,32mm,160.0
SISTERS REPENTIA,28.5mm,75.0
SISTERS REPENTIA,28.5mm,160.0
Retributor Squad,32mm,105.0
Dominion Squad,32mm,115.0
Sororitas Rhino,Use model,75.0
Immolator,Use model,115.0
Exorcist,Use model,210.0
Bastion,Use model,275.0
Vengeance Weapon Battery,Use model,140.0
Firestorm Redoubt,Use model,260.0
Plasma Obliterator,Use model,225.0
Macro-cannon Aquila Strongpoint,Use model,550.0
Vortex Missile Strongpoint,Use model,525.0
Void Shield Generator,Use model,155.0
Skyshield Landing Pad,Use model,125.0
Abaddon The Despoiler,60mm,270.0
Huron Blackheart,50mm,80.0
Cypher,32mm,90.0
FABIUS BILE,40mm,85.0
SURGEON ACOLYTE,32mm,85.0
Chaos Lord,40mm,90.0
Chaos Lord In Terminator Armour,40mm,95.0
Chaos Lord On Bike,75 x 25mm,95.0
Chaos Lord On Juggernaut,90 x 52mm,115.0
Chaos Lord On Disc Of Tzeentch,40mm,100.0
Chaos Lord On Palanquin Of Nurgle,60mm,90.0
Chaos Lord On Steed Of Slaanesh,No official base size,100.0
DARK APOSTLE,40mm,65.0
DARK DISCIPLE,25mm,65.0
Heretic Astartes Daemon Prince,60mm,165.0
Sorcerer,40mm,60.0
Sorcerer In Terminator Armour,40mm,80.0
Sorcerer On Bike,75 x 25mm,75.0
Sorcerer On Disc Of Tzeentch,40mm,80.0
Sorcerer On Palanquin Of Nurgle,60mm,80.0
Sorcerer On Steed Of Slaanesh,No official base size,85.0
Warpsmith,60 x 35.5mm,70.0
Cultist Mob,25mm,50.0
Cultist Mob,25mm,100.0
Chaos Terminator Squad,40mm,180.0
Chaos Terminator Squad,40mm,360.0
Chosen,32mm,125.0
Chosen,32mm,250.0
Possessed,40mm,120.0
Possessed,40mm,240.0
Helbrute,60mm,130.0
Mutilators,40mm,185.0
Chaos Rhino,Use model,75.0
Chaos Bikers,75 x 42mm,70.0
Chaos Bikers,75 x 42mm,130.0
Raptors,32mm,90.0
Raptors,32mm,170.0
Warp Talons,32mm,125.0
Warp Talons,32mm,270.0
Chaos Spawn,50mm,70.0
Heldrake,120 x 92mm flying base,205.0
Chaos Land Raider,Use model,220.0
Chaos Predator Destructor,Use model,140.0
Chaos Vindicator,Use model,185.0
Obliterators,50mm,160.0
Havocs,40mm,125.0
Forgefiend,120 x 92mm,180.0
Maulerfiend,120 x 92mm,130.0
Defiler,160mm,190.0
Khorne Lord Of Skulls,Use model,450.0
Sorcerer,32mm,85.0
Sorcerer In Terminator Armour,40mm,85.0
Rubric Marine,32mm,105.0
Rubric Marine,32mm,190.0
Aspiring Sorcerer,32mm,105.0
Aspiring Sorcerer,32mm,190.0
Helbrute,60mm,110.0
Chaos Rhino,Use model,90.0
Chaos Spawn,50mm,65.0
Heldrake,120 x 92mm flying base,215.0
Chaos Land Raider,Use model,220.0
Chaos Predator Destructor,Use model,140.0
Chaos Vindicator,Use model,185.0
Forgefiend,120 x 92mm,140.0
Maulerfiend,120 x 92mm,130.0
Defiler,160mm,165.0
Magnus The Red,100mm,435.0
Ahriman,40mm,100.0
Exalted Sorcerer,32mm,80.0
Tzaangors,32mm,70.0
Tzaangors,32mm,160.0
Scarab Occult Terminator,40mm,180.0
Scarab Occult Terminator,40mm,360.0
Scarab Occult Sorcerer,40mm,180.0
Scarab Occult Sorcerer,40mm,360.0
Daemon Prince of Tzeentch,60mm,180.0
Death Guard Chaos Lord,40mm,
Death Guard Chaos Lord In Terminator Armour,40mm,
Death Guard Sorcerer In Terminator Armour,40mm,
Death Guard Cultists,25mm,
Plague Marines,32mm,95.0
Plague Marines,32mm,130.0
Plague Marines,32mm,190.0
Death Guard Possessed,32mm,155.0
Death Guard Possessed,32mm,310.0
Helbrute,60mm,115.0
Chaos Rhino,Use model,85.0
Chaos Spawn,50mm,80.0
Chaos Land Raider,Use model,240.0
Chaos Predator Annihilator,Use model,135.0
Daemon Prince of Nurgle,60mm,195.0
Typhus,50mm,100.0
Lord of Contagion,40mm,120.0
Malignant Plaguecaster,32mm,60.0
Poxwalkers,25mm,65.0
Poxwalkers,25mm,130.0
Foetid Bloat-drone,60mm,100.0
Noxious Blightbringer,40mm,50.0
Chaos Cerastus Knight Acheron,170 x 109mm,385.0
Chaos Cerastus Knight Lancer,170 x 109mm,385.0
Chaos Cerastus Knight Castigator,170 x 109mm,385.0
Chaos Cerastus Knight Atrapos,170 x 109mm,395.0
Chaos Questoris Knight Magaera,120 x 92mm,375.0
Chaos Acastus Knight Porphyrion,Use model,700.0
Chaos Questoris Knight Styrix,120 x 92mm,375.0
Karanak,75 x 42mm,75.0
Skarbrand,100mm,305.0
Skulltaker,40mm,85.0
Rendmaster On Blood Throne,120 x 92mm,165.0
Flesh Hounds,60 x 35.5mm,75.0
Flesh Hounds,60 x 35.5mm,150.0
Bloodletters,32mm,110.0
Bloodcrushers,90 x 52mm,110.0
Bloodcrushers,90 x 52mm,220.0
Skull Cannon,120 x 92mm,95.0
Kairos Fateweaver,100mm,270.0
The Changeling,40mm,90.0
The Blue Scribes,60mm flying base,75.0
Lord of Change,100mm,260.0
Flamers,32mm,65.0
Flamers,32mm,130.0
Exalted Flamer,75 x 42mm,65.0
Screamers,32mm flying base,80.0
Screamers,32mm flying base,160.0
Burning Chariot,120 x 92mm,115.0
Epidemius,60mm,80.0
Great Unclean One,130mm,250.0
Plaguebearers,32mm,110.0
Nurglings,40mm,40.0
Nurglings,40mm,70.0
Beasts Of Nurgle,60mm,65.0
Beasts Of Nurgle,60mm,130.0
Plague Drones,60mm,110.0
Plague Drones,60mm,220.0
The Masque Of Slaanesh,32mm,95.0
Keeper Of Secrets,100mm,270.0
Tranceweaver,32mm,60.0
Herald Of Slaanesh On Steed Of Slaanesh,60 x 35.5mm,70.0
Tormentbringer On Exalted Seeker Chariot,120 x 92mm,140.0
Daemonettes,25mm,100.0
Fiends,75 x 42mm,95.0
Fiends,75 x 42mm,190.0
Hellflayer,120 x 92mm,80.0
Hellflayer,120 x 92mm,160.0
Seekers,60 x 35.5mm,80.0
Seekers,60 x 35.5mm,160.0
Seeker Chariot,120 x 92mm,65.0
Seeker Chariot,120 x 92mm,130.0
Exalted Seeker Chariot,120 x 92mm,115.0
Be'lakor,100mm,375.0
Daemon Prince of Chaos,60mm,190.0
Furies,25mm,40.0
Furies,25mm,80.0
Soul Grinder,160mm,180.0
Cerberus,Use model,285.0
Vanguard Veteran Squad,32mm,120.0
Vanguard Veteran Squad,32mm,240.0
Invictor Tactical Warsuit,90mm,125.0
Intercessor Squad,32mm,80.0
Intercessor Squad,32mm,160.0
Invader Atv,Use model,60.0
Incursor Squad,32mm,80.0
Incursor Squad,32mm,160.0
Scout Squad,28.5mm,70.0
Scout Squad,28.5mm,140.0
Sicaran Arcus,Use model,200.0
Sergeant Telion,25mm,70.0
Sicaran Omega,Use model,235.0
Thunderfire Cannon,Use model,90.0
Bladeguard Ancient,40mm,45.0
Company Veterans On Bikes,75 x 25mm,110.0
Company Veterans On Bikes,75 x 25mm,275.0
Company Champion On Bike,75 x 25mm,60.0
Land Speeder Tempest,60mm flying base,95.0
Land Speeder Tornado,60mm flying base,95.0
Captain In Gravis Armour,40mm,80.0
Chaplain,40mm,60.0
Kratos,Use model,265.0
Heavy Intercessor Squad,40mm,100.0
Heavy Intercessor Squad,40mm,200.0
Vindicator Laser Destroyer,Use model,175.0
Sokar-pattern Stormbird,Use model,1100.0
Ancient On Bike,75 x 25mm,90.0
Terminator Squad,40mm,170.0
Terminator Squad,40mm,340.0
Terminus Ultra,Use model,285.0
Sicaran Battle Tank,Use model,220.0
Vindicator,Use model,185.0
Mastodon,Use model,610.0
Stormtalon Gunship,120 x 92mm flying base,165.0
Stormraven Gunship,120 x 92mm flying base,280.0
Chaplain Venerable Dreadnought,60mm,150.0
Centurion Devastator Squad,50mm,165.0
Centurion Devastator Squad,50mm,330.0
Grey Knights Thunderhawk Gunship,Use model,805.0
Repressor,Use model,130.0
Valkyrie Sky Talon,120 x 92mm flying base,185.0
Blood Slaughterer,Use model,160.0
Greater Blight Drone,60mm,150.0
Decimator,60mm,170.0
Kytan Ravager,170 x 109mm,425.0
Greater Brass Scorpion,Use model,560.0
Chaos Deimos Predator,Use model,115.0
Dreadclaw Drop Pod,120 x 92mm flying base,115.0
Kharybdis Assault Claw,120 x 92mm flying base,325.0
Hell Blade,120 x 92mm flying base,115.0
Hell Talon,120 x 92mm flying base,140.0
Chaos Thunderhawk,120 x 92mm flying base,840.0
An'ggrath The Unbound,130mm,415.0
Zarakynel,105 x 70mm,320.0
Aetaos'rau'keres,130mm,315.0
Plague Toads,60mm,120.0
Pox Riders,60mm,160.0
Spined Chaos Beast,No official base size,145.0
Giant Chaos Spawn,100mm,130.0
Scabeiathrax The Bloated,Use model,275.0
Librarian With Jump Pack,25mm,75.0
Lieutenant In Reiver Armour,40mm,55.0
Lieutenant,40mm,65.0
Land Raider Prometheus,Use model,275.0
Librarian On Bike,75 x 25mm,80.0
Exalted Champion,40mm,70.0
Grand Master In Nemesis Dreadknight,120 x 92mm,225.0
Brotherhood Librarian,40mm,80.0
Brotherhood Chaplain,40mm,65.0
Stormhawk Interceptor,120 x 92mm flying base,160.0
Stormtalon Gunship,120 x 92mm flying base,170.0
Foul Blightspawn,40mm,75.0
Biologus Putrifier,40mm,60.0
Plague Surgeon,40mm,50.0
Tallyman,40mm,50.0
Deathshroud Terminators,40mm,160.0
Deathshroud Terminators,40mm,320.0
Blightlord Terminators,40mm,115.0
Blightlord Terminators,40mm,185.0
Blightlord Terminators,40mm,370.0
Myphitic Blight-haulers,80mm,100.0
Myphitic Blight-haulers,80mm,200.0
Plagueburst Crawler,Use model,210.0
Mortarion,100mm,380.0
Mukaali Riders,40mm,110.0
Grot Bomm Launcha,Use model,50.0
Attack Fighta,120 x 92mm flying base,100.0
Fighta-bommer,120 x 92mm flying base,100.0
Deff Rolla Battle Fortress,Use model,250.0
Kill Krusha,Use model,230.0
Raven Strike Fighter,120 x 92mm flying base,130.0
Knarloc Riders,65mm,110.0
Great Knarloc,65mm,100.0
Firestorm,60mm flying base,115.0
Ministorum Priest,32mm,35.0
Tech-Priest Enginseer,32mm,45.0
Munitorum Servitors,25mm,35.0
Ogryn Bodyguard,40mm,40.0
Bonesinger,25mm,45.0
Sly Marbo,32mm,55.0
Ravenwing Talonmaster,65mm,105.0
Trajann Valoris,40mm,140.0
Shield-captain,40mm,120.0
Shield-captain In Allarus Terminator Armour,40mm,130.0
Shield-captain On Dawneagle Jetbike,75 x 42mm,150.0
Custodian Wardens,40mm,210.0
Custodian Wardens,40mm,260.0
Allarus Custodians,40mm,120.0
Allarus Custodians,40mm,180.0
Allarus Custodians,40mm,300.0
Allarus Custodians,40mm,360.0
Vertus Praetors,75 x 42mm,150.0
Vertus Praetors,75 x 42mm,225.0
Bloodmaster,40mm,65.0
Skullmaster,60mm,100.0
Contemptor-achillus Dreadnought,60mm,155.0
Caladius Grav-tank,170 x 109mm,215.0
Coronus Grav-carrier,Use model,200.0
Changecaster,32mm,60.0
Fateskimmer,120 x 92mm,95.0
Fluxmaster,60mm flying base,60.0
Rotigus,130mm,250.0
Horticulous Slimux,105 x 70mm,120.0
Poxbringer,32mm,55.0
Sloppity Bilepiper,32mm,55.0
Spoilpox Scrivener,40mm,60.0
Feculent Gnarlmaw,Use model,100.0
Tzaangor Shaman,40mm,60.0
Tzaangor Enlightened,40mm,55.0
Tzaangor Enlightened,40mm,90.0
Mutalith Vortex Beast,120 x 92mm,175.0
Commander In Crisis Battlesuit,50mm,80.0
Commander In Enforcer Battlesuit,60mm,80.0
Telemon Heavy Dreadnought,100mm,225.0
Armiger Helverin,100mm,140.0
Armiger Warglaive,100mm,140.0
Knight Preceptor,170 x 109mm,365.0
Canis Rex,170 x 109mm,415.0
Knight Castellan,170 x 109mm,410.0
Knight Valiant,170 x 109mm,410.0
Scout Sniper Squad,25mm,75.0
Scout Sniper Squad,25mm,150.0
Sergeant Chronus,25mm,75.0
Secutarii Hoplites,25mm,65.0
Secutarii Hoplites,25mm,130.0
Secutarii Peltasts,25mm,50.0
Secutarii Peltasts,25mm,100.0
Techmarine On Bike,75 x 25mm,110.0
Terrax-pattern Termite,Use model,200.0
Big Mek With Shokk Attack Gun,40mm,80.0
Deffkilla Wartrike,150 x 95mm,80.0
Kustom Boosta-blasta,150 x 95mm,70.0
Shokkjump Dragsta,150 x 95mm,70.0
Boomdakka Snazzwagon,150 x 95mm,70.0
Megatrakk Scrapjet,150 x 95mm,75.0
Rukkatrukk Squigbuggy,150 x 95mm,95.0
Abominant,40mm,85.0
Preacher,32mm,50.0
Haarken Worldclaimer,40mm,90.0
Contemptor-galatus Dreadnought,60mm,165.0
Aquilon Custodians,50mm,195.0
Aquilon Custodians,50mm,390.0
Custodian Guard With Adrasite And Pyrithite Spears,40mm,250.0
Agamatus Custodians,60mm flying base,225.0
Agamatus Custodians,60mm flying base,450.0
Venatari Custodians,40mm,165.0
Venatari Custodians,40mm,330.0
Pallas Grav-attack,105 x 70mm,105.0
Sagittarum Custodians,40mm,225.0
Orion Assault Dropship,160mm,690.0
Jackal Alphus,60 x 35.5mm,55.0
Clamavus,32mm,50.0
Locus,32mm,45.0
Sanctus,32mm,50.0
Kelermorph,32mm,60.0
Nexos,40mm,60.0
Biophagus,25mm,50.0
Achilles Ridgerunners,120 x 92mm,95.0
Achilles Ridgerunners,120 x 92mm,170.0
ATALAN JACKAL,60 x 35.5mm,85.0
ATALAN JACKAL,60 x 35.5mm,150.0
ATALAN WOLFQUAD,60mm,85.0
ATALAN WOLFQUAD,60mm,150.0
Tectonic Fragdrill,Use model,125.0
Seraptek Heavy Construct,Use model,540.0
Inquisitor Eisenhorn,32mm,65.0
Tech-priest Manipulus,50mm,60.0
Master Of Possession,40mm,60.0
Lord Discordant On Helstalker,120 x 92mm,160.0
Master Of Executions,40mm,80.0
Venomcrawler,100mm,110.0
Noctilith Crown,Use model,125.0
Skull Altar,Use model,105.0
Infernal Enrapturess,60 x 35.5mm,60.0
Rein And Raus,25mm,50.0
Amallyn Shadowguide,32mm,75.0
Rogue Psyker,32mm,60.0
Negavolt Cultists,32mm,55.0
Spindle Drones,25mm,35.0
Fellgor Beastmen,32mm,70.0
Assault Intercessor Squad,32mm,75.0
Assault Intercessor Squad,32mm,150.0
Land Raider Achilles,Use model,285.0
Land Raider Proteus,Use model,250.0
Fire Raptor Gunship,120 x 92mm flying base,290.0
Storm Speeder Thunderstrike,90mm,150.0
Chief Librarian Tigurius,40mm,75.0
Ambull,50mm,85.0
Contorted Epitome,75 x 42mm,100.0
Shalaxi Helbane,100mm,380.0
Syll'esske,50mm,120.0
Skorpius Dunerider,Use model,85.0
Skorpius Disintegrator,Use model,165.0
Knight Despoiler,170 x 109mm,375.0
Knight Tyrant,170 x 109mm,410.0
Knight Desecrator,170 x 109mm,365.0
Knight Rampager,170 x 109mm,365.0
Chaos Acastus Knight Asterius,Use model,765.0
War Dog Moirax,100mm,150.0
Acastus Knight Asterius,Use model,765.0
Falchion,Use model,515.0
Gladiator Reaper,100mm,160.0
Eliminator Squad,40mm,85.0
Ares Gunship,160mm,580.0
X-101,32mm,40.0
Gladiator Valiant,100mm,150.0
Terrax-pattern Termite,Use model,200.0
Da Red Gobbo,32mm,40.0
Carnodon,Use model,160.0
Death Company Marines,32mm,85.0
Death Company Marines,32mm,160.0
Triumph Of Saint Katherine,120 x 92mm,235.0
Junith Eruita,50mm,80.0
Zephyrim Squad,32mm,80.0
Zephyrim Squad,32mm,160.0
Mortifiers,50mm,70.0
Mortifiers,50mm,140.0
Battle Sanctum,Use model,170.0
Attack Bike Squad,Use model,55.0
Attack Bike Squad,Use model,110.0
Attack Bike Squad,Use model,165.0
Warbringer Nemesis Titan,Use model,2600.0
Big Mek With Kustom Force Field,40mm,55.0
Serberys Sulphurhounds,60 x 35.5mm,55.0
Serberys Sulphurhounds,60 x 35.5mm,110.0
Serberys Raiders,60 x 35.5mm,60.0
Serberys Raiders,60 x 35.5mm,120.0
Pteraxii Sterylizors,40mm,80.0
Pteraxii Sterylizors,40mm,160.0
Pteraxii Skystalkers,40mm,70.0
Pteraxii Skystalkers,40mm,140.0
Archaeopter Transvector,170 x 109mm,150.0
Archaeopter Stratoraptor,170 x 109mm,185.0
Archaeopter Fusilave,170 x 109mm,160.0
Aleya,32mm,65.0
Inquisitor Draxus,32mm,75.0
Inquisitor Draxus,32mm,95.0
Illuminor Szeras,80mm,165.0
The Archivist,50mm,70.0
Hellblaster Squad,32mm,110.0
Hellblaster Squad,32mm,220.0
Aggressor Squad,40mm,100.0
Aggressor Squad,40mm,200.0
Adrax Agatone,40mm,85.0
Land Speeder Typhoon,60mm flying base,100.0
Command Squad,32mm,165.0
Darnath Lysander,50mm,100.0
Plasmancer,32mm,55.0
Skorpekh Lord,60mm,90.0
Skorpekh Destroyers,50mm,90.0
Skorpekh Destroyers,50mm,180.0
Cryptothralls,32mm,60.0
Canoptek Reanimator,60mm,75.0
Canoptek Scarab Swarms,40mm,40.0
Canoptek Scarab Swarms,40mm,80.0
Canoptek Doomstalker,90mm,140.0
Lokhust Heavy Destroyers,60mm,55.0
Lokhust Heavy Destroyers,60mm,110.0
Lokhust Heavy Destroyers,60mm,165.0
Land Raider Redeemer,Use model,270.0
Devastator Squad,32mm,120.0
Devastator Squad,32mm,200.0
Primaris Company Champion,32mm,55.0
Spartan,Use model,315.0
Sternguard Veteran Squad,32mm,100.0
Sternguard Veteran Squad,32mm,200.0
Stalker,Use model,140.0
Librarian,40mm,65.0
Deathstorm Drop Pod,Use model,95.0
Deimos Predator,Use model,115.0
Deredeo Dreadnought,80mm,170.0
Desolation Squad,32mm,200.0
Death Company Marines,32mm,85.0
Death Company Marines,32mm,160.0
Sammael,60mm flying base,115.0
Lazarus,40mm,70.0
Deathwing Command Squad,40mm,200.0
Deathwing Command Squad,40mm,400.0
Royal Warden,32mm,50.0
Lokhust Lord,60mm flying base,80.0
Technomancer,50mm,80.0
Psychomancer,40mm,55.0
Chronomancer,40mm,65.0
Hexmark Destroyer,50mm,75.0
C'tan Shard of the Void Dragon,80mm,300.0
Ophydian Destroyers,50mm,80.0
Ophydian Destroyers,50mm,160.0
Lokhust Destroyers,60mm flying base,40.0
Lokhust Destroyers,60mm flying base,60.0
Lokhust Destroyers,60mm flying base,90.0
Lokhust Destroyers,60mm flying base,180.0
SZAREKH,100mm,400.0
TRIARCHAL MENHIR,50mm,400.0
Convergence Of Dominion,Use model,60.0
Convergence Of Dominion,Use model,120.0
Convergence Of Dominion,Use model,180.0
Tomb Citadel Walls,Use model,920.0
Guardian Drone,50mm,45.0
GRENADIER,25mm,110.0
HEAVY WEAPONS TEAM,60mm,110.0
QUARTERMASTER REVENANT,25mm,45.0
MEDICAE SERVITOR,25mm,45.0
Elysian Sniper Squad,60mm,65.0
Death Rider Commissar,40mm,35.0
Storm Chimera,Use model,90.0
Mega Dread,Use model,225.0
Lord of Virulence,50mm,100.0
Chaos Predator Destructor,Use model,145.0
Miasmic Malignifier,Use model,105.0
Deathwing Strikemaster,40mm,80.0
Court Of The Archon,25mm,95.0
Palatine,32mm,50.0
Tor Garadon,40mm,90.0
Technoarcheologist,32mm,45.0
Skitarii Marshal,32mm,35.0
Morvenn Vahl,60mm,170.0
AESTRED THURGA,32mm,70.0
AGATHAE DOLAN,25mm,70.0
Celestian Sacresants,32mm,70.0
Celestian Sacresants,32mm,130.0
Dogmata,32mm,45.0
Paragon Warsuits,50mm,210.0
Castigator,Use model,160.0
IBRAM GAUNT,28.5mm,100.0
TANITH GHOST,28.5mm,100.0
Zodgrod Wortsnagga,50mm,90.0
Beastboss,50mm,80.0
Beastboss On Squigosaur,80mm,110.0
Painboss,40mm,70.0
Wurrboy,32mm,60.0
Mozrog Skragbad,80mm,145.0
BEAST SNAGGA BOY,32mm,95.0
BEAST SNAGGA BOY,32mm,190.0
BEAST SNAGGA NOB,32mm,95.0
BEAST SNAGGA NOB,32mm,190.0
Squighog Boyz,75 x 42mm,150.0
Squighog Boyz,75 x 42mm,300.0
Nob On Smasha Squig,90 x 52mm,150.0
Nob On Smasha Squig,90 x 52mm,300.0
Kill Rig,170 x 109mm,155.0
Hunta Rig,170 x 109mm,135.0
Big'ed Bossbunka,Use model,135.0
Infernal Master,40mm,95.0
Chaos Predator Annihilator,Use model,130.0
NOVITIATE SUPERIOR,32mm,100.0
SISTER NOVITIATE,28.5mm,100.0
Voidsmen-at-arms,25mm,50.0
Voidsmen-at-arms,25mm,70.0
Blade Champion,40mm,120.0
Valerian,40mm,110.0
Knight-centura,32mm,55.0
Prosecutors,32mm,40.0
Prosecutors,32mm,50.0
Prosecutors,32mm,75.0
Prosecutors,32mm,85.0
Vigilators,32mm,50.0
Vigilators,32mm,65.0
Vigilators,32mm,100.0
Vigilators,32mm,110.0
Witchseekers,32mm,50.0
Witchseekers,32mm,65.0
Witchseekers,32mm,115.0
Witchseekers,32mm,125.0
Anathema Psykana Rhino,Use model,75.0
Reductus Saboteur,32mm,65.0
Winged Hive Tyrant,60mm,170.0
Parasite Of Mortrex,40mm,80.0
Lieutenant In Phobos Armour,40mm,55.0
Corsair Voidreavers,28.5mm,65.0
Corsair Voidreavers,28.5mm,110.0
Corsair Voidscarred,28.5mm,80.0
Corsair Voidscarred,28.5mm,160.0
Shroud Runners,60mm flying base,80.0
Shroud Runners,60mm flying base,160.0
Troupe Master,25mm,75.0
Shadowseer,25mm,60.0
Troupe,25mm,85.0
Troupe,25mm,100.0
Troupe,25mm,190.0
Troupe,25mm,205.0
Death Jester,25mm,90.0
Solitaire,25mm,115.0
Skyweavers,60mm flying base,95.0
Skyweavers,60mm flying base,190.0
Voidweaver,65mm,125.0
Starweaver,65mm,80.0
Yvraine,75 x 42mm,100.0
The Visarch,32mm,90.0
The Yncarne,80mm,260.0
War Dog Executioner,100mm,130.0
War Dog Stalker,100mm,140.0
War Dog Karnivore,100mm,150.0
War Dog Brigand,100mm,140.0
War Dog Huntsman,100mm,140.0
Knight Abominant,170 x 109mm,355.0
Impulsor,100mm,80.0
CULT DEMAGOGUE,32mm,90.0
OTHER MODELS,28.5mm,90.0
Legionaries,32mm,90.0
Legionaries,32mm,170.0
MUTANT,25mm,90.0
MUTANT,25mm,195.0
TORMENT,40mm,90.0
TORMENT,40mm,195.0
Chaos Predator Annihilator,Use model,135.0
Bloodthirster,120 x 92mm,305.0
Blue Horrors,25mm,125.0
PINK HORROR,32mm,140.0
BLUE HORROR/BRIMSTONE HORROR,25mm,140.0
Imperial Navy Breachers,25mm,90.0
FARSTALKERS & KILL-BROKER,28.5mm,85.0
KROOT HOUNDS,28.5mm,85.0
TRAITOR ENFORCER,32mm,55.0
TRAITOR OGRYN,40mm,55.0
Traitor Guardsmen Squad,25mm,70.0
Mutoid Vermin,25mm,85.0
NIGHTMARE HULK,40mm,125.0
GELLERPOX MUTANTS,25mm,125.0
Ûthar The Destined,40mm,95.0
Kâhl,40mm,70.0
Einhyr Champion,40mm,70.0
GRIMNYR,40mm,65.0
CORV,25mm,65.0
BRÔKHYR IRON-MASTER,32mm,75.0
IRONKIN ASSISTANT,28.5mm,75.0
E-COG,25mm,75.0
Hearthkyn Warriors,28.5mm,100.0
Einhyr Hearthguard,32mm,135.0
Einhyr Hearthguard,32mm,270.0
Cthonian Beserks,28.5mm,100.0
Cthonian Beserks,28.5mm,200.0
Hernkyn Pioneers,90 x 52mm,80.0
Hernkyn Pioneers,90 x 52mm,160.0
Sagitaur,Use model,95.0
Brôkhyr Thunderkyn,40mm,80.0
Brôkhyr Thunderkyn,40mm,160.0
Hekaton Land Fortress,Use model,240.0
Lord Solar Leontus,80mm,130.0
Ursula Creed,32mm,85.0
Cadian Castellan,28.5mm,55.0
CADIAN COMMANDER,28.5mm,65.0
CADIAN VETERAN GUARDSMAN,28.5mm,65.0
Regimental Attachés,,40.0
Cadian Shock Troops,25mm,65.0
Cadian Shock Troops,25mm,120.0
Death Korps Of Krieg,25mm,65.0
Death Korps Of Krieg,25mm,145.0
Catachan Jungle Fighters,25mm,65.0
Catachan Jungle Fighters,25mm,120.0
Kasrkin,28.5mm,110.0
Attilan Rough Riders,60 x 35.5mm,60.0
Attilan Rough Riders,60 x 35.5mm,120.0
Rogal Dorn Battle Tank,Use model,250.0
Aegis Defence Line,Use model,145.0
Angron,100mm,360.0
Khârn The Betrayer,40mm,100.0
Lord Invocatus,90 x 52mm,110.0
Daemon Prince of Khorne,60mm,200.0
Lord On Juggernaut,90 x 52mm,90.0
Master of Executions,40mm,60.0
Khorne Berzerkers,32mm,180.0
Khorne Berzerkers,32mm,360.0
Jakhals,28.5mm,65.0
Jakhals,28.5mm,140.0
Chaos Terminators,40mm,175.0
Chaos Terminators,40mm,350.0
Eightbound,40mm,135.0
Eightbound,40mm,270.0
Exalted Eightbound,40mm,140.0
Exalted Eightbound,40mm,280.0
Helbrute,60mm,120.0
Chaos Spawn,50mm,90.0
Chaos Land Raider,Use model,220.0
Chaos Predator Destructor,Use model,145.0
Chaos Predator Annihilator,Use model,145.0
Forgefiend,120 x 92mm,170.0
Maulerfiend,120 x 92mm,150.0
Chaos Rhino,Use model,85.0
Heldrake,120 x 92mm flying base,200.0
Khorne Lord of Skulls,Use model,505.0
Ancient In Terminator Armour,40mm,75.0
Chaplain Cassius,32mm,80.0
Vashtorr The Arkifane,80mm,175.0
Lion El'jonson,60mm,315.0
Vigilant Squad,28.5mm,85.0
Subductor Squad,28.5mm,85.0
Subductor Squad,28.5mm,100.0
Exaction Squad,28.5mm,90.0
Barbgaunts,40mm,55.0
Barbgaunts,40mm,110.0
Neurogaunts,25mm,45.0
Neurogaunts,25mm,90.0
Neurotyrant,50mm,105.0
Psychophage,120 x 92mm,110.0
Screamer-killer,90mm,135.0
Tyranid Warriors With Melee Bio-weapons,50mm,75.0
Tyranid Warriors With Melee Bio-weapons,50mm,150.0
Tyranid Warriors With Ranged Bio-weapons,50mm,65.0
Tyranid Warriors With Ranged Bio-weapons,50mm,130.0
Von Ryan's Leapers,40mm,70.0
Von Ryan's Leapers,40mm,140.0
Winged Tyranid Prime,50mm,65.0
Astraeus,160mm,525.0
Captain In Phobos Armour,40mm,70.0
Captain On Bike,75 x 25mm,95.0
Centurion Assault Squad,50mm,150.0
Centurion Assault Squad,50mm,300.0
Fellblade,Use model,535.0
Gladiator Lancer,100mm,160.0
Ironclad Dreadnought,60mm,150.0
Judiciar,40mm,70.0
Kayvaan Shrike,40mm,100.0
Kor'sarro Khan,40mm,70.0
Land Raider Helios,Use model,265.0
Land Speeder,60mm flying base,80.0
OUTRIDER,90 x 52mm,80.0
OUTRIDER,90 x 52mm,160.0
OUTRIDER,90 x 52mm,60.0
INVADER ATV,Use model,80.0
INVADER ATV,Use model,160.0
INVADER ATV,Use model,60.0
Pedro Kantor,25mm,90.0
Predator Annihilator,Use model,135.0
Predator Destructor,Use model,140.0
Redemptor Dreadnought,90mm,195.0
Reiver Squad,32mm,80.0
Reiver Squad,32mm,160.0
Relic Contemptor Dreadnought,60mm,180.0
Relic Razorback,Use model,105.0
Repulsor,100mm,180.0
Repulsor Executioner,100mm,220.0
Rhino,Use model,75.0
Thunderhawk Transporter,120 x 92mm,495.0
Tyrannic War Veterans,25mm,85.0
Vulkan He'stan,40mm,100.0
Whirlwind,Use model,190.0
Whirlwind Scorpius,Use model,115.0
Xiphon Interceptor,120 x 92mm flying base,115.0
