mini,base_mm2,cost,faction,price,price_old
Biovores,80mm,100.0,Tyranids,48.76,48.76
Biovores,80mm,150.0,Tyranids,48.76,48.76
Trygon,120 x 92mm,140.0,Tyranids,88.32,88.32
Mawloc,120 x 92mm,135.0,Tyranids,88.32,88.32
Exocrine,120 x 92mm,140.0,Tyranids,81.88,81.88
Tyrannofex,120 x 92mm,200.0,Tyranids,63.48,63.48
Toxicrene,120 x 92mm,150.0,Tyranids,81.88,81.88
Sporocyst,100mm,145.0,Tyranids,57.5,57.5
Malanthrope,60mm,75.0,Tyranids,57.5,57.5
Dimachaeron,120 x 92mm,200.0,Astra_Militarum,55.2,55.2
Barbed Hierodule,127mm,340.0,Tyranids,57.5,57.5
Harridan,120 x 92mm flying base,610.0,Thousand_Sons,55.2,55.2
Hierophant,Use model,810.0,Tyranids,57.5,57.5
Scythed Hierodule,127mm,330.0,Tyranids,57.5,57.5
Patriarch,50mm,75.0,Genestealer_Cult,44.16,44.16
Magus,32mm,50.0,Genestealer_Cult,32.2,32.2
Primus,32mm,70.0,Chaos_Daemons,55.2,55.2
Acolyte Iconward,32mm,50.0,Genestealer_Cult,32.2,32.2
Acolyte Hybrids,32mm,65.0,Genestealer_Cult,44.16,44.16
Acolyte Hybrids,32mm,130.0,Genestealer_Cult,44.16,44.16
Neophyte Hybrids,25mm,65.0,Genestealer_Cult,55.2,55.2
Neophyte Hybrids,25mm,145.0,Genestealer_Cult,55.2,55.2
Hybrid Metamorphs,32mm,70.0,Genestealer_Cult,44.16,44.16
Hybrid Metamorphs,32mm,140.0,Genestealer_Cult,44.16,44.16
Aberrants,32mm,135.0,Genestealer_Cult,44.16,44.16
Aberrants,32mm,300.0,Genestealer_Cult,44.16,44.16
Purestrain Genestealers,32mm,75.0,Genestealer_Cult,44.16,44.16
Purestrain Genestealers,32mm,140.0,Genestealer_Cult,44.16,44.16
Goliath Truck,Use model,85.0,Genestealer_Cult,63.48,63.48
Goliath Rockgrinder,Use model,120.0,Genestealer_Cult,63.48,63.48
Imotekh The Stormlord,40mm,100.0,Necrons,44.16,44.16
Overlord,40mm,85.0,Necrons,26.68,26.68
Lord,32mm,65.0,Necrons,48.76,48.76
Nemesor Zahndrekh,25mm,85.0,Necrons,48.76,48.76
Vargard Obyron,25mm,85.0,Necrons,48.76,48.76
Orikan The Diviner,40mm,80.0,Necrons,44.16,44.16
Anrakyr The Traveller,25mm,95.0,Necrons,48.76,48.76
Trazyn The Infinite,25mm,75.0,Necrons,30.82,30.82
Catacomb Command Barge,Use model,120.0,Necrons,45.08,45.08
Necron Warriors,32mm,90.0,Necrons,42.32,42.32
Necron Warriors,32mm,90.0,Necrons,42.32,42.32
Necron Warriors,32mm,200.0,Necrons,42.32,42.32
Necron Warriors,32mm,200.0,Necrons,42.32,42.32
Immortals,32mm,70.0,Necrons,35.88,35.88
Immortals,32mm,150.0,Necrons,35.88,35.88
Lychguard,32mm,85.0,Necrons,55.2,55.2
Lychguard,32mm,170.0,Necrons,55.2,55.2
Deathmarks,32mm,60.0,Necrons,44.16,44.16
Deathmarks,32mm,120.0,Necrons,44.16,44.16
Flayed Ones,28.5mm,60.0,Necrons,55.2,55.2
Flayed Ones,28.5mm,60.0,Necrons,55.2,55.2
Flayed Ones,28.5mm,120.0,Necrons,55.2,55.2
Flayed Ones,28.5mm,120.0,Necrons,55.2,55.2
Triarch Praetorians,32mm,90.0,Necrons,45.08,45.08
Triarch Praetorians,32mm,180.0,Necrons,45.08,45.08
Triarch Stalker,Use model,110.0,Necrons,51.52,51.52
C'tan Shard of the Nightbringer,90mm,305.0,Necrons,119.6,119.6
C'tan Shard of the Deceiver,40mm,265.0,Necrons,48.76,48.76
Ghost Ark,60mm,115.0,Necrons,51.52,51.52
Night Scythe,120 x 92mm flying base,145.0,Necrons,70.84,70.84
Doom Scythe,120 x 92mm flying base,230.0,Necrons,56.12,56.12
Canoptek Wraiths,50mm,110.0,Necrons,51.52,51.52
Canoptek Wraiths,50mm,220.0,Necrons,51.52,51.52
Tomb Blades,32mm flying base,75.0,Necrons,46.0,46.0
Tomb Blades,32mm flying base,150.0,Necrons,46.0,46.0
Canoptek Spyders,60mm flying base,75.0,Necrons,44.16,44.16
Canoptek Spyders,60mm flying base,150.0,Necrons,44.16,44.16
Monolith,160mm,400.0,Necrons,158.24,158.24
Monolith,160mm,400.0,Necrons,158.24,158.24
Annihilation Barge,Use model,105.0,Necrons,55.2,55.2
Doomsday Ark,60mm flying base,200.0,Necrons,63.48,63.48
Transcendent C'tan,60mm flying base,295.0,Necrons,48.76,48.76
Tesseract Vault,120 x 92mm flying base,425.0,Necrons,181.24,181.24
Obelisk,120 x 92mm flying base,300.0,Necrons,48.76,48.76
Canoptek Tomb Stalker,120 x 92mm,130.0,Necrons,48.76,48.76
Canoptek Acanthrites,40mm,85.0,Necrons,48.76,48.76
Canoptek Acanthrites,40mm,170.0,Necrons,48.76,48.76
Canoptek Tomb Sentinel,120 x 92mm,115.0,Necrons,48.76,48.76
Night Shroud,120 x 92mm flying base,140.0,Chaos_Knights,78.2,78.2
Sentry Pylon,Use model,120.0,Necrons,48.76,48.76
Tesseract Ark,60mm,130.0,Necrons,48.76,48.76
Gauss Pylon,Use model,210.0,Necrons,48.76,48.76
Eldrad Ulthran,32mm,110.0,Craftworlds,32.2,32.2
Prince Yriel,40mm,100.0,Craftworlds,43.24,43.24
Illic Nightspear,25mm,70.0,Craftworlds,52.900000000000006,52.900000000000006
Asurmen,40mm,125.0,Craftworlds,44.16,44.16
Jain Zar,40mm,105.0,Craftworlds,37.72,37.72
Karandras,25mm,90.0,Craftworlds,52.900000000000006,52.900000000000006
Fuegan,40mm,120.0,Craftworlds,44.16,44.16
Baharroth,40mm,115.0,Craftworlds,44.16,44.16
Maugan Ra,40mm,100.0,Craftworlds,44.16,44.16
Maugan Ra,40mm,100.0,Craftworlds,44.16,44.16
Autarch,32mm,85.0,Craftworlds,40.02,40.02
Autarch,32mm,85.0,Craftworlds,40.02,40.02
Autarch Skyrunner,32mm flying base,90.0,Craftworlds,52.900000000000006,52.900000000000006
Avatar of Khaine,80mm,280.0,Craftworlds,104.88,104.88
Avatar of Khaine,80mm,280.0,Craftworlds,104.88,104.88
Farseer,25mm,70.0,Craftworlds,27.6,27.6
Farseer Skyrunner,32mm flying base,80.0,Craftworlds,40.02,40.02
Warlock Conclave,32mm,55.0,Craftworlds,52.900000000000006,52.900000000000006
Warlock Conclave,32mm,130.0,Craftworlds,52.900000000000006,52.900000000000006
Warlock,32mm,45.0,Craftworlds,55.2,55.2
Warlock Skyrunner,32mm flying base,45.0,Craftworlds,40.02,40.02
Warlock Skyrunner,32mm flying base,90.0,Craftworlds,40.02,40.02
Spiritseer,25mm,65.0,Craftworlds,28.52,28.52
GUARDIAN DEFENDER,28.5mm,100.0,Craftworlds,55.2,55.2
HEAVY WEAPON PLATFORM,40mm,100.0,Craftworlds,52.900000000000006,52.900000000000006
STORM GUARDIAN,28.5mm,100.0,Craftworlds,55.2,55.2
SERPENT'S SCALE PLATFORM,40mm,100.0,Craftworlds,52.900000000000006,52.900000000000006
Windriders,32mm flying base,80.0,Craftworlds,46.92,46.92
Windriders,32mm flying base,160.0,Craftworlds,46.92,46.92
Rangers,28.5mm,55.0,Craftworlds,57.5,57.5
Rangers,28.5mm,55.0,Craftworlds,57.5,57.5
Rangers,28.5mm,110.0,Craftworlds,57.5,57.5
Rangers,28.5mm,110.0,Craftworlds,57.5,57.5
DIRE AVENGER,28.5mm,75.0,Craftworlds,44.16,44.16
DIRE AVENGER,28.5mm,150.0,Craftworlds,44.16,44.16
DIRE AVENGER EXARCH,28.5mm,75.0,Craftworlds,52.900000000000006,52.900000000000006
DIRE AVENGER EXARCH,28.5mm,150.0,Craftworlds,52.900000000000006,52.900000000000006
HOWLING BANSHEE,28.5mm,95.0,Craftworlds,57.5,57.5
HOWLING BANSHEE,28.5mm,190.0,Craftworlds,57.5,57.5
HOWLING BANSHEE EXARCH,28.5mm,95.0,Craftworlds,52.900000000000006,52.900000000000006
HOWLING BANSHEE EXARCH,28.5mm,190.0,Craftworlds,52.900000000000006,52.900000000000006
STRIKING SCORPION,28.5mm,85.0,Craftworlds,52.900000000000006,52.900000000000006
STRIKING SCORPION,28.5mm,150.0,Craftworlds,52.900000000000006,52.900000000000006
STRIKING SCORPION EXARCH,28.5mm,85.0,Craftworlds,52.900000000000006,52.900000000000006
STRIKING SCORPION EXARCH,28.5mm,150.0,Craftworlds,52.900000000000006,52.900000000000006
FIRE DRAGON,28.5mm,120.0,Craftworlds,57.5,57.5
FIRE DRAGON,28.5mm,220.0,Craftworlds,57.5,57.5
FIRE DRAGON EXARCH,28.5mm,120.0,Craftworlds,52.900000000000006,52.900000000000006
FIRE DRAGON EXARCH,28.5mm,220.0,Craftworlds,52.900000000000006,52.900000000000006
Wraithguard,40mm,170.0,Craftworlds,51.52,51.52
Wraithblades,40mm,160.0,Craftworlds,59.8,59.8
Wave Serpent,60mm flying base,125.0,Craftworlds,54.28,54.28
SWOOPING HAWK,32mm,85.0,Craftworlds,57.5,57.5
SWOOPING HAWK,32mm,190.0,Craftworlds,57.5,57.5
SWOOPING HAWK EXARCH,32mm,85.0,Craftworlds,52.900000000000006,52.900000000000006
SWOOPING HAWK EXARCH,32mm,190.0,Craftworlds,52.900000000000006,52.900000000000006
WARP SPIDER,28.5mm,95.0,Craftworlds,57.5,57.5
WARP SPIDER,28.5mm,190.0,Craftworlds,57.5,57.5
WARP SPIDER EXARCH,28.5mm,95.0,Craftworlds,52.900000000000006,52.900000000000006
WARP SPIDER EXARCH,28.5mm,190.0,Craftworlds,52.900000000000006,52.900000000000006
SHINING SPEAR,60mm flying base,110.0,Craftworlds,63.48,63.48
SHINING SPEAR,60mm flying base,220.0,Craftworlds,63.48,63.48
SHINING SPEAR EXARCH,60mm flying base,110.0,Craftworlds,52.900000000000006,52.900000000000006
SHINING SPEAR EXARCH,60mm flying base,220.0,Craftworlds,52.900000000000006,52.900000000000006
Crimson Hunter,120 x 92mm flying base,160.0,Craftworlds,88.32,88.32
Vypers,105 x 70mm,65.0,Craftworlds,52.900000000000006,52.900000000000006
Vypers,105 x 70mm,130.0,Craftworlds,52.900000000000006,52.900000000000006
Hemlock Wraithfighter,120 x 92mm flying base,155.0,Craftworlds,74.52,74.52
DARK REAPER,28.5mm,90.0,Space_Marines,57.5,57.5
DARK REAPER,28.5mm,195.0,Space_Marines,57.5,57.5
DARK REAPER EXARCH,28.5mm,90.0,Craftworlds,52.900000000000006,52.900000000000006
DARK REAPER EXARCH,28.5mm,195.0,Craftworlds,52.900000000000006,52.900000000000006
Falcon,60mm flying base,130.0,Craftworlds,52.900000000000006,52.900000000000006
Fire Prism,60mm flying base,150.0,Craftworlds,63.48,63.48
Night Spinner,60mm flying base,190.0,Craftworlds,63.48,63.48
War Walkers,60mm,85.0,Chaos_Knights,78.2,78.2
War Walkers,60mm,170.0,Chaos_Knights,78.2,78.2
Wraithlord,60mm,140.0,Craftworlds,51.52,51.52
Wraithknight,120 x 92mm,435.0,Craftworlds,129.72,129.72
SHADOW SPECTRE,25mm,115.0,Harlequins,37.72,37.72
SHADOW SPECTRE,25mm,230.0,Harlequins,37.72,37.72
SHADOW SPECTRE,25mm,30.0,Harlequins,37.72,37.72
SHADOW SPECTRE EXARCH,25mm,115.0,Harlequins,37.72,37.72
SHADOW SPECTRE EXARCH,25mm,230.0,Harlequins,37.72,37.72
SHADOW SPECTRE EXARCH,25mm,30.0,Harlequins,37.72,37.72
Wasp Assault Walker,60mm,95.0,Space_Marines,54.28,54.28
Wraithseer,60mm,160.0,Necrons,48.76,48.76
Hornet,60mm,100.0,Craftworlds,52.900000000000006,52.900000000000006
Warp Hunter,Use model,145.0,Space_Marines,54.28,54.28
Lynx,Use model,180.0,Craftworlds,52.900000000000006,52.900000000000006
Scorpion,Use model,410.0,Craftworlds,52.900000000000006,52.900000000000006
Cobra,Use model,415.0,Craftworlds,52.900000000000006,52.900000000000006
Nightwing,120 x 92mm flying base,150.0,Craftworlds,52.900000000000006,52.900000000000006
Phoenix,120 x 92mm flying base,175.0,Chaos_Space_Marines,55.2,55.2
Vampire Raider,170 x 109mm flying base,430.0,Drukhari,55.2,55.2
Vampire Hunter,170 x 109mm flying base,460.0,Drukhari,55.2,55.2
Skathach Wraithknight,120 x 92mm,490.0,Craftworlds,52.900000000000006,52.900000000000006
Revenant Titan,Use model,1100.0,Imperial_Knights,179.4,179.4
Corsair Cloud Dancer Band,32mm flying base,105.0,Drukhari,55.2,55.2
Corsair Cloud Dancer Band,32mm flying base,140.0,Drukhari,55.2,55.2
Corsair Cloud Dancer Band,32mm flying base,210.0,Drukhari,55.2,55.2
Corsair Cloud Dancer Band,32mm flying base,245.0,Drukhari,55.2,55.2
Irillyth,25mm,105.0,Craftworlds,52.900000000000006,52.900000000000006
Phantom Titan,Use model,2100.0,Imperial_Knights,179.4,179.4
Corsair Reaver Band,25mm,125.0,Drukhari,55.2,55.2
Corsair Reaver Band,25mm,150.0,Drukhari,55.2,55.2
Corsair Reaver Band,25mm,250.0,Drukhari,55.2,55.2
Corsair Reaver Band,25mm,275.0,Drukhari,55.2,55.2
Corsair Skyreaver Band,25mm,125.0,Drukhari,55.2,55.2
Corsair Skyreaver Band,25mm,150.0,Drukhari,55.2,55.2
Corsair Skyreaver Band,25mm,250.0,Drukhari,55.2,55.2
Corsair Skyreaver Band,25mm,275.0,Drukhari,55.2,55.2
Archon,32mm,85.0,Drukhari,27.6,27.6
Succubus,25mm,45.0,Drukhari,29.44,29.44
Lelith Hesperax,32mm,95.0,Drukhari,44.16,44.16
Lelith Hesperax,32mm,95.0,Drukhari,44.16,44.16
Haemonculus,25mm,60.0,Drukhari,29.44,29.44
Urien Rakarth,25mm,80.0,Drukhari,55.2,55.2
Drazhar,40mm,85.0,Drukhari,37.72,37.72
Kabalite Warriors,25mm,100.0,Drukhari,34.04,34.04
Wyches,25mm,80.0,Drukhari,34.04,34.04
INCUBI,28.5mm,85.0,Drukhari,57.5,57.5
INCUBI,28.5mm,170.0,Drukhari,57.5,57.5
KLAIVEX,28.5mm,85.0,Drukhari,55.2,55.2
KLAIVEX,28.5mm,170.0,Drukhari,55.2,55.2
Mandrakes,28.5mm,65.0,Drukhari,55.2,55.2
Mandrakes,28.5mm,120.0,Drukhari,55.2,55.2
Wracks,25mm,55.0,Drukhari,55.2,55.2
Wracks,25mm,110.0,Drukhari,55.2,55.2
Grotesques,40mm,80.0,Drukhari,55.2,55.2
Grotesques,40mm,170.0,Drukhari,55.2,55.2
BEASTMASTER,32mm flying base,120.0,Deathwatch,48.76,48.76
CLAWED FIEND,40mm,120.0,Chaos_Space_Marines,55.2,55.2
KHYMERAE,40mm,120.0,Astra_Militarum,55.2,55.2
RAZORWING FLOCK,40mm,120.0,Drukhari,55.2,55.2
Raider,60mm flying base,75.0,Drukhari,45.08,45.08
Venom,60mm flying base,65.0,Drukhari,34.04,34.04
Reavers,32mm flying base,65.0,Drukhari,44.16,44.16
Reavers,32mm flying base,120.0,Drukhari,44.16,44.16
Hellions,32mm flying base,75.0,Drukhari,32.2,32.2
Hellions,32mm flying base,150.0,Drukhari,32.2,32.2
Razorwing Jetfighter,120 x 92mm flying base,170.0,Drukhari,59.8,59.8
Voidraven Bomber,120 x 92mm flying base,235.0,Drukhari,88.32,88.32
Scourges,32mm,130.0,Drukhari,32.2,32.2
Scourges,32mm,180.0,Drukhari,32.2,32.2
Talos,60mm flying base,80.0,Drukhari,51.52,51.52
Talos,60mm flying base,160.0,Drukhari,51.52,51.52
Cronos,60mm flying base,50.0,Drukhari,59.8,59.8
Cronos,60mm flying base,85.0,Drukhari,59.8,59.8
Ravager,60mm flying base,100.0,Drukhari,63.48,63.48
Reaper,Use model,95.0,Drukhari,46.0,46.0
Tantalus,Use model,230.0,Genestealer_Cult,44.16,44.16
Leman Russ Commander,Use model,235.0,Tau_Empire,55.2,55.2
Heavy Weapons Squad,50mm,65.0,Space_Marines,48.76,48.76
Scout Sentinels,80mm,55.0,Space_Marines,44.16,44.16
Scout Sentinels,80mm,110.0,Space_Marines,44.16,44.16
Armoured Sentinels,80mm,65.0,Space_Marines,44.16,44.16
Armoured Sentinels,80mm,130.0,Space_Marines,44.16,44.16
Chimera,Use model,85.0,Astra_Militarum,45.08,45.08
Taurox,Use model,75.0,Astra_Militarum,55.2,55.2
Hellhound,Use model,125.0,Astra_Militarum,59.8,59.8
Basilisk,Use model,140.0,Astra_Militarum,63.48,63.48
Basilisk,Use model,140.0,Astra_Militarum,63.48,63.48
Basilisk,Use model,140.0,Astra_Militarum,63.48,63.48
Hydra,Use model,95.0,Astra_Militarum,56.12,56.12
Wyvern,Use model,110.0,Astra_Militarum,63.48,63.48
Manticore,Use model,165.0,Astra_Militarum,63.48,63.48
Deathstrike,Use model,145.0,Astra_Militarum,63.48,63.48
Leman Russ Battle Tank,Use model,185.0,Astra_Militarum,55.2,55.2
Leman Russ Demolisher,Use model,190.0,Astra_Militarum,55.2,55.2
Baneblade,Use model,450.0,Astra_Militarum,129.72,129.72
Banehammer,Use model,420.0,Astra_Militarum,181.24,181.24
Banesword,Use model,450.0,Astra_Militarum,181.24,181.24
Doomhammer,Use model,415.0,Astra_Militarum,181.24,181.24
Hellhammer,Use model,420.0,Astra_Militarum,181.24,181.24
Shadowsword,Use model,410.0,Astra_Militarum,181.24,181.24
Stormlord,Use model,430.0,Astra_Militarum,181.24,181.24
Stormsword,Use model,465.0,Astra_Militarum,181.24,181.24
‘Iron Hand' Straken,25mm,55.0,Astra_Militarum,55.2,55.2
Sergeant Harker,25mm,40.0,Astra_Militarum,55.2,55.2
Commissar,28.5mm,30.0,Astra_Militarum,35.88,35.88
TEMPESTUS SCION,25mm,85.0,Astra_Militarum,44.16,44.16
TEMPESTOR PRIME,25mm,85.0,Tyranids,57.5,57.5
Taurox Prime,Use model,90.0,Astra_Militarum,55.2,55.2
Ogryn Squad,40mm,60.0,Astra_Militarum,55.2,55.2
Ogryn Squad,40mm,130.0,Astra_Militarum,55.2,55.2
Bullgryn Squad,40mm,100.0,Astra_Militarum,55.2,55.2
Bullgryn Squad,40mm,200.0,Astra_Militarum,55.2,55.2
Ratlings,25mm,60.0,Astra_Militarum,55.2,55.2
Ratlings,25mm,100.0,Astra_Militarum,55.2,55.2
Nork Deddog,40mm,60.0,Astra_Militarum,59.8,59.8
Valkyrie,120 x 92mm flying base,190.0,Astra_Militarum,74.52,74.52
Atlas Recovery Vehicle,Use model,80.0,Space_Marines,54.28,54.28
Salamander Command Vehicle,Use model,80.0,Space_Marines,54.28,54.28
Hades Breaching Drill,Use model,110.0,Astra_Militarum,55.2,55.2
Centaur Light Carrier,Use model,40.0,Astra_Militarum,55.2,55.2
Trojan Support Vehicle,Use model,80.0,Space_Marines,54.28,54.28
Salamander Scout Vehicle,Use model,95.0,Space_Marines,54.28,54.28
Tauros Assault Vehicle,Use model,50.0,Space_Marines,54.28,54.28
Tauros Venator,Use model,55.0,Chaos_Daemons,55.2,55.2
Armageddon-pattern Medusa,Use model,105.0,Astra_Militarum,55.2,55.2
Colossus,Use model,160.0,Genestealer_Cult,44.16,44.16
Cyclops Demolition Vehicle,Use model,25.0,Astra_Militarum,28.52,28.52
Earthshaker Carriage Battery,Use model,120.0,Astra_Militarum,55.2,55.2
Griffon Mortar Carrier,Use model,115.0,Astra_Militarum,55.2,55.2
Heavy Mortar Team,Use model,50.0,Space_Marines,54.28,54.28
Heavy Quad Launcher Team,Use model,50.0,Space_Marines,54.28,54.28
Hydra Platform,Use model,95.0,Astra_Militarum,55.2,55.2
Malcador Annihilator,Use model,270.0,Space_Marines,54.28,54.28
Malcador Defender,Use model,310.0,Craftworlds,52.900000000000006,52.900000000000006
Malcador,Use model,250.0,Tyranids,57.5,57.5
Malcador Infernus,Use model,235.0,Astra_Militarum,55.2,55.2
Manticore Platform,Use model,95.0,Astra_Militarum,55.2,55.2
Medusa Carriage Battery,Use model,125.0,Astra_Militarum,55.2,55.2
Rapier Laser Destroyer Battery,Use model,35.0,Necrons,48.76,48.76
Rapier Laser Destroyer Battery,Use model,70.0,Necrons,48.76,48.76
Rapier Laser Destroyer Battery,Use model,105.0,Necrons,48.76,48.76
Sabre Weapons Battery,Use model,45.0,Astra_Militarum,55.2,55.2
Sabre Weapons Battery,Use model,90.0,Astra_Militarum,55.2,55.2
Sentinel Powerlifter,Use model,55.0,Astra_Militarum,55.2,55.2
Stygies Destroyer Tank Hunter,Use model,180.0,Necrons,48.76,48.76
Tarantula Battery,Use model,40.0,Astra_Militarum,55.2,55.2
Tarantula Battery,Use model,80.0,Astra_Militarum,55.2,55.2
Tarantula Battery,Use model,120.0,Astra_Militarum,55.2,55.2
Stormblade,Use model,415.0,Necrons,48.76,48.76
Arkurian Stormhammer,Use model,480.0,Astra_Militarum,55.2,55.2
Crassus,Use model,180.0,Astra_Militarum,55.2,55.2
Dominus Armoured Siege Bombard,Use model,325.0,Astra_Militarum,55.2,55.2
Gorgon Heavy Transport,Use model,275.0,Astra_Militarum,55.2,55.2
Macharius,Use model,310.0,Astra_Militarum,55.2,55.2
Macharius Omega,Use model,310.0,Astra_Militarum,55.2,55.2
Macharius Vanquisher,Use model,285.0,Astra_Militarum,55.2,55.2
Macharius Vulcan,Use model,310.0,Astra_Militarum,55.2,55.2
Marauder Bomber,Use model,345.0,Necrons,386.4,386.4
Marauder Destroyer,Use model,375.0,Necrons,386.4,386.4
Minotaur,Use model,225.0,Astra_Militarum,55.2,55.2
Praetor,Use model,275.0,Chaos_Space_Marines,56.12,56.12
Valdor,Use model,285.0,Necrons,48.76,48.76
Aquila Lander,120 x 92mm flying base,120.0,Tau_Empire,55.2,55.2
Arvus Lighter,120 x 92mm flying base,95.0,Astra_Militarum,55.2,55.2
Avenger Strike Fighter,120 x 92mm flying base,130.0,Astra_Militarum,188.6,188.6
Voss-pattern Lightning,120 x 92mm flying base,130.0,Astra_Militarum,55.2,55.2
Vendetta Gunship,120 x 92mm flying base,255.0,Space_Marines,54.28,54.28
Vulture Gunship,120 x 92mm flying base,225.0,Space_Wolves,54.739999999999995,54.739999999999995
Imperial Fortress Walls,Use model,,Astra_Militarum,55.2,55.2
Primaris Redoubt,Use model,220.0,Astra_Militarum,55.2,55.2
Belisarius Cawl,105 x 70mm,175.0,Adeptus_Mechanicus,51.52,51.52
Tech-priest Dominus,50mm,65.0,Adeptus_Mechanicus,40.02,40.02
Tech-priest Enginseer,32mm,55.0,Adeptus_Mechanicus,59.8,59.8
Kataphron Breachers,60mm,160.0,Adeptus_Mechanicus,59.8,59.8
Kataphron Breachers,60mm,320.0,Adeptus_Mechanicus,59.8,59.8
Kataphron Destroyers,60mm,105.0,Adeptus_Mechanicus,59.8,59.8
Kataphron Destroyers,60mm,210.0,Adeptus_Mechanicus,59.8,59.8
Fulgurite Electro-priests,32mm,70.0,Adeptus_Mechanicus,55.2,55.2
Fulgurite Electro-priests,32mm,140.0,Adeptus_Mechanicus,55.2,55.2
Corpuscarii Electro-priests,32mm,65.0,Adeptus_Mechanicus,55.2,55.2
Corpuscarii Electro-priests,32mm,130.0,Adeptus_Mechanicus,55.2,55.2
Kastelan Robots,60mm,180.0,Adeptus_Mechanicus,69.92,69.92
Kastelan Robots,60mm,360.0,Adeptus_Mechanicus,69.92,69.92
Cybernetica Datasmith,32mm,35.0,Adeptus_Mechanicus,59.8,59.8
Servitors,25mm,50.0,Chaos_Space_Marines,55.2,55.2
Skitarii Rangers,25mm,85.0,Adeptus_Mechanicus,55.2,55.2
Skitarii Vanguard,25mm,95.0,Adeptus_Mechanicus,55.2,55.2
Sicarian Infiltrators,40mm,70.0,Adeptus_Mechanicus,55.2,55.2
Sicarian Infiltrators,40mm,140.0,Adeptus_Mechanicus,55.2,55.2
Sicarian Ruststalkers,40mm,75.0,Adeptus_Mechanicus,55.2,55.2
Sicarian Ruststalkers,40mm,150.0,Adeptus_Mechanicus,55.2,55.2
Ironstrider Ballistarii,105 x 70mm,75.0,Adeptus_Mechanicus,59.8,59.8
Ironstrider Ballistarii,105 x 70mm,150.0,Adeptus_Mechanicus,59.8,59.8
Ironstrider Ballistarii,105 x 70mm,225.0,Adeptus_Mechanicus,59.8,59.8
Sydonian Dragoons,105 x 70mm,65.0,Adeptus_Mechanicus,59.8,59.8
Sydonian Dragoons,105 x 70mm,130.0,Adeptus_Mechanicus,59.8,59.8
Sydonian Dragoons,105 x 70mm,195.0,Adeptus_Mechanicus,59.8,59.8
Onager Dunecrawler,130mm,155.0,Adeptus_Mechanicus,69.92,69.92
Knight Paladin,170 x 109mm,375.0,Adeptus_Mechanicus,59.8,59.8
Knight Paladin,170 x 109mm,375.0,Imperial_Knights,179.4,179.4
Knight Errant,170 x 109mm,375.0,Adeptus_Mechanicus,179.4,179.4
Knight Errant,170 x 109mm,375.0,Imperial_Knights,179.4,179.4
Knight Warden,170 x 109mm,385.0,Adeptus_Mechanicus,59.8,59.8
Knight Warden,170 x 109mm,385.0,Imperial_Knights,179.4,179.4
Knight Gallant,170 x 109mm,375.0,Adeptus_Mechanicus,179.4,179.4
Knight Gallant,170 x 109mm,375.0,Imperial_Knights,179.4,179.4
Knight Crusader,170 x 109mm,395.0,Adeptus_Mechanicus,59.8,59.8
Knight Crusader,170 x 109mm,395.0,Imperial_Knights,179.4,179.4
Acastus Knight Porphyrion,Use model,700.0,Imperial_Knights,653.2,653.2
Cerastus Knight Acheron,170 x 109mm,395.0,Imperial_Knights,197.8,197.8
Cerastus Knight Atrapos,170 x 109mm,405.0,Imperial_Knights,197.8,197.8
Cerastus Knight Castigator,170 x 109mm,395.0,Imperial_Knights,197.8,197.8
Cerastus Knight Lancer,170 x 109mm,395.0,Imperial_Knights,197.8,197.8
Questoris Knight Magaera,170 x 109mm,385.0,Imperial_Knights,230.0,230.0
Questoris Knight Styrix,170 x 109mm,385.0,Imperial_Knights,230.0,230.0
Warhound Titan,Use model,1100.0,Imperial_Knights,179.4,179.4
Reaver Titan,Use model,2200.0,Drukhari,55.2,55.2
Warlord Titan,Use model,3500.0,Necrons,48.76,48.76
Vindicare Assassin,32mm,110.0,Imperial_Assassins,38.64,38.64
Vindicare Assassin,32mm,125.0,Imperial_Assassins,38.64,38.64
Callidus Assassin,32mm,100.0,Imperial_Assassins,33.58,33.58
Eversor Assassin,32mm,110.0,Imperial_Assassins,38.64,38.64
Eversor Assassin,32mm,120.0,Imperial_Assassins,38.64,38.64
Culexus Assassin,32mm,85.0,Imperial_Assassins,38.64,38.64
Inquisitor Greyfax,32mm,65.0,Inquisition,32.2,32.2
Inquisitor Karamazov,60mm,140.0,Inquisition,44.16,44.16
Inquisitor Coteaz,40mm,75.0,Inquisition,44.16,44.16
Inquisitor Coteaz,40mm,95.0,Inquisition,44.16,44.16
Inquisitor,32mm,55.0,Inquisition,44.16,44.16
Custodian Guard,40mm,160.0,Adeptus_Custodes,56.12,56.12
Custodian Guard,40mm,200.0,Adeptus_Custodes,56.12,56.12
Venerable Contemptor Dreadnought,60mm,170.0,Grey_Knights,59.8,59.8
Venerable Land Raider,Use model,220.0,Drukhari,88.32,88.32
Primaris Psyker,32mm,60.0,Astra_Militarum,32.2,32.2
Crusaders,25mm,40.0,Astra_Militarum,55.2,55.2
Crusaders,25mm,40.0,Adepta_Sororitas,56.12,56.12
Crusaders,25mm,40.0,Inquisition,44.16,44.16
Crusaders,25mm,80.0,Astra_Militarum,55.2,55.2
Crusaders,25mm,80.0,Adepta_Sororitas,56.12,56.12
Crusaders,25mm,80.0,Inquisition,44.16,44.16
Death Cult Assassins,25mm,55.0,Adepta_Sororitas,56.12,56.12
Death Cult Assassins,25mm,110.0,Adepta_Sororitas,56.12,56.12
